,Incident Number,Incident Types,Reported Date,Province,Company,Substance,Volume Released (m3)
920,INC2016-088,Release of Substance,08/06/2016,New Brunswick,Emera Brunswick Pipeline Company Ltd.,Natural Gas - Sweet,8.0
921,INC2016-089,Operation Beyond Design Limits,08/08/2016,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
922,INC2016-090,Release of Substance,08/11/2016,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Sulphur Dioxide,578.0
923,INC2016-091,Fire,08/13/2016,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
924,INC2016-093,Fire,08/14/2016,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
925,INC2016-095,Fire,08/24/2016,British Columbia,Trans Mountain Pipeline ULC,Not Applicable,
926,INC2016-096,Fire,08/24/2016,British Columbia,Trans Mountain Pipeline ULC,Not Applicable,
927,INC2016-097,Release of Substance,08/25/2016,Alberta,Enbridge Pipelines Inc.,Natural Gas Liquids,1e-04
928,INC2016-098,Fire,08/25/2016,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
929,INC2016-099,Adverse Environmental Effects,08/25/2016,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Not Applicable,
930,INC2016-100,Operation Beyond Design Limits,08/25/2016,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
931,INC2016-101,Operation Beyond Design Limits,08/29/2016,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
932,INC2016-102,Fire,08/29/2016,Ontario,TransCanada PipeLines Limited,Not Applicable,
933,INC2016-103,Release of Substance,08/29/2016,Alberta,NOVA Gas Transmission Ltd.,Lube Oil,1.5
934,INC2016-104,Operation Beyond Design Limits,08/30/2016,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
935,INC2016-105,Release of Substance,09/01/2016,Manitoba,TransCanada PipeLines Limited,Lube Oil,0.115
936,INC2016-106,Operation Beyond Design Limits,09/02/2016,Saskatchewan,Enbridge Pipelines Inc.,Not Applicable,
937,INC2016-107,Release of Substance,09/04/2016,Ontario,TransCanada PipeLines Limited,Natural Gas - Sweet,1.0
938,INC2016-108,Release of Substance,09/06/2016,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Natural Gas - Sweet,113.55
939,INC2016-109,Release of Substance,09/12/2016,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Natural Gas - Sweet,113.55
940,INC2016-110,Release of Substance,09/12/2016,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Natural Gas - Sweet,52.0
941,INC2016-112,Operation Beyond Design Limits,09/16/2016,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
942,INC2016-113,Fire,09/18/2016,Saskatchewan,TransCanada PipeLines Limited,Not Applicable,
943,INC2016-115,Release of Substance,09/22/2016,Alberta,Enbridge Pipelines Inc.,Natural Gas Liquids,1e-04
944,INC2016-116,Operation Beyond Design Limits,09/26/2016,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
945,INC2016-117,"Serious Injury (CER or TSB), Fire",09/28/2016,Ontario,Trans-Northern Pipelines Inc.,Not Applicable,
946,INC2016-118,Release of Substance,09/28/2016,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Natural Gas - Sweet,16645.0
947,INC2016-119,Release of Substance,10/03/2016,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Natural Gas - Sweet,448.0
948,INC2016-120,Release of Substance,10/07/2016,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,342.0
949,INC2016-121,Release of Substance,10/14/2016,Ontario,TransCanada PipeLines Limited,Natural Gas - Sweet,50.0
950,INC2016-122,Fire,10/15/2016,Saskatchewan,Enbridge Pipelines Inc.,Not Applicable,
951,INC2016-124,Release of Substance,10/20/2016,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Natural Gas - Sweet,529960.0
952,INC2016-125,Release of Substance,10/24/2016,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Natural Gas - Sweet,10.0
953,INC2016-126,Release of Substance,10/24/2016,Saskatchewan,Many Islands Pipe Lines (Canada) Limited,Natural Gas - Sweet,24000.0
954,INC2016-128,Release of Substance,10/31/2016,Nova Scotia,Maritimes & Northeast Pipeline Management Ltd.,Natural Gas - Sweet,1.0
955,INC2016-130,Serious Injury (CER or TSB),11/08/2016,British Columbia,Trans Mountain Pipeline ULC,Not Applicable,
956,INC2016-132,Release of Substance,11/17/2016,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Natural Gas - Sweet,24100.0
957,INC2016-133,Operation Beyond Design Limits,11/18/2016,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
958,INC2016-135,Fire,11/21/2016,Ontario,TransCanada PipeLines Limited,Not Applicable,
959,INC2016-137,Explosion,11/22/2016,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Not Applicable,
960,INC2016-138,Explosion,11/23/2016,Manitoba,TransCanada Keystone Pipeline GP Ltd.,Not Applicable,
961,INC2016-139,Operation Beyond Design Limits,11/24/2016,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
962,INC2016-140,Operation Beyond Design Limits,11/29/2016,British Columbia,NOVA Gas Transmission Ltd.,Not Applicable,
963,INC2016-141,Release of Substance,12/06/2016,New Brunswick,Emera Brunswick Pipeline Company Ltd.,Natural Gas - Sweet,3.0
964,INC2016-142,Operation Beyond Design Limits,12/06/2016,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
965,INC2016-143,Operation Beyond Design Limits,12/09/2016,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
966,INC2016-144,Operation Beyond Design Limits,12/09/2016,Alberta,TransCanada Keystone Pipeline GP Ltd.,Not Applicable,
967,INC2016-146,Release of Substance,12/15/2016,Ontario,TransCanada PipeLines Limited,Natural Gas - Sweet,0.1
968,INC2016-147,Release of Substance,12/19/2016,Nova Scotia,Maritimes & Northeast Pipeline Management Ltd.,Natural Gas - Sweet,1.0
969,INC2016-148,Release of Substance,12/20/2016,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Natural Gas - Sweet,72.0
970,INC2016-149,Release of Substance,12/23/2016,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,9246.0
971,INC2017-001,Release of Substance,01/05/2017,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Natural Gas - Sour,201.0
972,INC2017-002,Operation Beyond Design Limits,01/09/2017,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
973,INC2017-003,Operation Beyond Design Limits,01/12/2017,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
974,INC2017-004,Operation Beyond Design Limits,01/16/2017,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
975,INC2017-005,Operation Beyond Design Limits,01/16/2017,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
976,INC2017-006,Explosion,01/17/2017,Saskatchewan,Enbridge Pipelines Inc.,Not Applicable,
977,INC2017-007,Release of Substance,01/19/2017,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Natural Gas - Sour,22.3
978,INC2017-008,Fire,01/23/2017,Saskatchewan,NOVA Chemicals (Canada) Ltd.,Not Applicable,
979,INC2017-009,Release of Substance,01/25/2017,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Natural Gas - Sweet,1.0
980,INC2017-010,Release of Substance,01/27/2017,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Sulphur,0.4
981,INC2017-011,Release of Substance,01/28/2017,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Hydrogen Sulphide,0.86
982,INC2017-012,Fire,01/29/2017,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
983,INC2017-013,Fire,01/29/2017,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
984,INC2017-015,Release of Substance,01/31/2017,Saskatchewan,Tundra Energy Marketing Limited,Crude Oil - Sweet,5.0
985,INC2017-016,Release of Substance,02/02/2017,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Natural Gas - Sweet,491.0
986,INC2017-018,Release of Substance,02/08/2017,New Brunswick,Emera Brunswick Pipeline Company Ltd.,Natural Gas - Sweet,0.001
987,INC2017-019,Fire,02/08/2017,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
988,INC2017-020,Fire,02/14/2017,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
989,INC2017-021,Fire,02/15/2017,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
990,INC2017-022,Operation Beyond Design Limits,02/17/2017,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
991,INC2017-023,Release of Substance,02/17/2017,Alberta,Enbridge Pipelines Inc.,Condensate,988.0
992,INC2017-024,Fire,02/19/2017,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
993,INC2017-027,Release of Substance,02/24/2017,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Natural Gas - Sweet,5798.4
994,INC2017-028,Operation Beyond Design Limits,02/24/2017,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Not Applicable,
995,INC2017-029,Serious Injury (CER or TSB),02/24/2017,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Not Applicable,
996,INC2017-030,Fire,02/26/2017,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
997,INC2017-031,Release of Substance,02/28/2017,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Sulphur,5.5
998,INC2017-032,Fire,03/02/2017,Alberta,Enbridge Pipelines (NW) Inc.,Not Applicable,
999,INC2017-034,Fire,03/04/2017,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
1000,INC2017-035,Release of Substance,03/04/2017,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Hydrogen Sulphide,0.59
1001,INC2017-036,Release of Substance,03/07/2017,British Columbia,Pouce Coup� Pipe Line Ltd. as agent and general partner of the Pembina North Limited Partnership,Natural Gas Liquids,0.001
1002,INC2017-037,Fire,03/08/2017,Manitoba,TransCanada PipeLines Limited,Not Applicable,
1003,INC2017-038,Fire,03/14/2017,Saskatchewan,Enbridge Pipelines Inc.,Not Applicable,
1004,INC2017-039,Release of Substance,03/15/2017,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,25000.0
1005,INC2017-040,Fire,03/17/2017,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
1006,INC2017-041,Serious Injury (CER or TSB),03/19/2017,British Columbia,Enbridge G and P Canada Pipelines Inc.,Not Applicable,
1007,INC2017-042,Release of Substance,03/19/2017,British Columbia,Enbridge G and P Canada Pipelines Inc.,Natural Gas - Sweet,26278.033
1008,INC2017-043,Release of Substance,03/20/2017,Alberta,Enbridge Pipelines Inc.,Crude Oil - Synthetic,10.0
1009,INC2017-044,Fire,03/22/2017,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
1010,INC2017-045,Fire,03/22/2017,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
1011,INC2017-046,Fire,03/27/2017,Ontario,TransCanada PipeLines Limited,Not Applicable,
1012,INC2017-047,Fire,03/30/2017,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
1013,INC2017-048,Operation Beyond Design Limits,03/30/2017,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
1014,INC2017-049,Fire,04/04/2017,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
1015,INC2017-050,Fire,04/06/2017,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Not Applicable,
1016,INC2017-051,Release of Substance,04/08/2017,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Contaminated Water,3.0
1017,INC2017-052,Release of Substance,04/09/2017,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Natural Gas - Sour,7327.0
1018,INC2017-053,Release of Substance,04/15/2017,Alberta,NOVA Gas Transmission Ltd.,Lube Oil,1.75
1019,INC2017-054,Release of Substance,04/19/2017,New Brunswick,Emera Brunswick Pipeline Company Ltd.,Natural Gas - Sweet,0.01
1020,INC2017-056,Explosion,04/30/2017,Saskatchewan,Enbridge Pipelines Inc.,Not Applicable,
1021,INC2017-057,Release of Substance,05/02/2017,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Hydrogen Sulphide,0.06
1022,INC2017-058,Fire,05/05/2017,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Not Applicable,
1023,INC2017-059,Operation Beyond Design Limits,05/05/2017,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
1024,INC2017-060,Release of Substance,05/06/2017,Saskatchewan,Plains Midstream Canada ULC,Propane,2.5
1025,INC2017-061,Operation Beyond Design Limits,05/07/2017,Alberta,TransCanada Keystone Pipeline GP Ltd.,Not Applicable,
1026,INC2017-062,Release of Substance,05/08/2017,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Sulphur,1.0
1027,INC2017-063,Release of Substance,05/09/2017,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Sulphur,0.156
1028,INC2017-064,Operation Beyond Design Limits,05/09/2017,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
1029,INC2017-065,Operation Beyond Design Limits,05/13/2017,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Not Applicable,
1030,INC2017-066,Operation Beyond Design Limits,05/18/2017,Ontario,Enbridge Pipelines Inc.,Not Applicable,
1031,INC2017-067,Release of Substance,05/18/2017,Saskatchewan,Pembina Prairie Facilities Ltd.,Natural Gas Liquids,0.001
1032,INC2017-071,Release of Substance,05/26/2017,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Natural Gas - Sour,5.0
1033,INC2017-073,Fire,05/29/2017,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Not Applicable,
1034,INC2017-075,Release of Substance,06/02/2017,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,1.0
1035,INC2017-076,Release of Substance,06/13/2017,Quebec,Trans Qu�bec and Maritimes Pipeline Inc.,Natural Gas - Sweet,1995.0
1036,INC2017-077,Fire,06/13/2017,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Not Applicable,
1037,INC2017-079,Release of Substance,06/19/2017,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,7.5
1038,INC2017-080,Release of Substance,06/20/2017,New Brunswick,Emera Brunswick Pipeline Company Ltd.,Natural Gas - Sweet,0.01
1039,INC2017-081,Release of Substance,06/21/2017,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Diesel Fuel,4.2
1040,INC2017-082,Operation Beyond Design Limits,06/21/2017,Alberta,Enbridge Pipelines Inc.,Not Applicable,
1041,INC2017-083,Operation Beyond Design Limits,06/22/2017,British Columbia,Trans Mountain Pipeline ULC,Not Applicable,
1042,INC2017-084,Release of Substance,06/22/2017,Alberta,Enbridge Pipelines Inc.,Crude Oil - Synthetic,88.0
1043,INC2017-085,Operation Beyond Design Limits,06/25/2017,Ontario,Trans-Northern Pipelines Inc.,Not Applicable,
1044,INC2017-086,Operation Beyond Design Limits,06/25/2017,Ontario,Trans-Northern Pipelines Inc.,Not Applicable,
1045,INC2017-087,Operation Beyond Design Limits,06/25/2017,Ontario,Trans-Northern Pipelines Inc.,Not Applicable,
1046,INC2017-088,Operation Beyond Design Limits,06/25/2017,Ontario,Trans-Northern Pipelines Inc.,Not Applicable,
1047,INC2017-089,Operation Beyond Design Limits,06/26/2017,Ontario,Trans-Northern Pipelines Inc.,Not Applicable,
1048,INC2017-090,Operation Beyond Design Limits,06/26/2017,Ontario,Trans-Northern Pipelines Inc.,Not Applicable,
1049,INC2017-091,Release of Substance,06/28/2017,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,2.0
1050,INC2017-093,Release of Substance,07/06/2017,Alberta,Alliance Pipeline Ltd.,Natural Gas - Sweet,1.0
1051,INC2017-094,Operation Beyond Design Limits,07/10/2017,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
1052,INC2017-095,Operation Beyond Design Limits,07/10/2017,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
1053,INC2017-096,Operation Beyond Design Limits,07/11/2017,Ontario,Trans-Northern Pipelines Inc.,Not Applicable,
1054,INC2017-097,Operation Beyond Design Limits,07/12/2017,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
1055,INC2017-098,Operation Beyond Design Limits,07/12/2017,Ontario,Trans-Northern Pipelines Inc.,Not Applicable,
1056,INC2017-099,Operation Beyond Design Limits,07/12/2017,Ontario,Trans-Northern Pipelines Inc.,Not Applicable,
1057,INC2017-100,Fire,07/14/2017,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
1058,INC2017-101,Release of Substance,07/14/2017,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Natural Gas - Sour,300.0
1059,INC2017-102,Release of Substance,07/18/2017,Alberta,Enbridge Pipelines Inc.,Crude Oil - Synthetic,12.8
1060,INC2017-103,Release of Substance,07/20/2017,Manitoba,TransCanada PipeLines Limited,Natural Gas - Sweet,58.7
1061,INC2017-104,Fire,07/21/2017,Ontario,TransCanada PipeLines Limited,Not Applicable,
1062,INC2017-105,Release of Substance,07/25/2017,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Butane,11.0
1063,INC2017-110,Release of Substance,07/27/2017,Saskatchewan,Enbridge Pipelines Inc.,Natural Gas Liquids,0.001
1064,INC2017-111,Operation Beyond Design Limits,07/31/2017,Ontario,Trans-Northern Pipelines Inc.,Not Applicable,
1065,INC2017-114,Release of Substance,08/10/2017,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,17022.0
1066,INC2017-115,Release of Substance,08/11/2017,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,9777.0
1067,INC2017-116,Serious Injury (CER or TSB),08/15/2017,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Not Applicable,
1068,INC2017-117,Fire,08/16/2017,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Not Applicable,
1069,INC2017-120,Operation Beyond Design Limits,08/31/2017,Quebec,Trans-Northern Pipelines Inc.,Not Applicable,
1070,INC2017-121,Operation Beyond Design Limits,08/31/2017,Quebec,Trans-Northern Pipelines Inc.,Not Applicable,
1071,INC2017-122,Operation Beyond Design Limits,08/31/2017,Quebec,Trans-Northern Pipelines Inc.,Not Applicable,
1072,INC2017-123,Operation Beyond Design Limits,08/31/2017,Quebec,Trans-Northern Pipelines Inc.,Not Applicable,
1073,INC2017-124,Operation Beyond Design Limits,08/31/2017,Quebec,Trans-Northern Pipelines Inc.,Not Applicable,
1074,INC2017-125,Operation Beyond Design Limits,08/31/2017,Quebec,Trans-Northern Pipelines Inc.,Not Applicable,
1075,INC2017-126,Operation Beyond Design Limits,08/31/2017,Quebec,Trans-Northern Pipelines Inc.,Not Applicable,
1076,INC2017-127,Operation Beyond Design Limits,08/31/2017,Quebec,Trans-Northern Pipelines Inc.,Not Applicable,
1077,INC2017-128,Operation Beyond Design Limits,08/31/2017,Quebec,Trans-Northern Pipelines Inc.,Not Applicable,
1078,INC2017-129,Operation Beyond Design Limits,08/31/2017,Quebec,Trans-Northern Pipelines Inc.,Not Applicable,
1079,INC2017-130,Fire,09/01/2017,Saskatchewan,TransCanada PipeLines Limited,Not Applicable,
1080,INC2017-131,Serious Injury (CER or TSB),09/03/2017,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Not Applicable,
1081,INC2017-132,Operation Beyond Design Limits,09/05/2017,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Not Applicable,
1082,INC2017-133,Operation Beyond Design Limits,09/07/2017,Quebec,Trans-Northern Pipelines Inc.,Not Applicable,
1083,INC2017-134,Operation Beyond Design Limits,09/07/2017,Quebec,Trans-Northern Pipelines Inc.,Not Applicable,
1084,INC2017-135,Operation Beyond Design Limits,09/07/2017,Quebec,Trans-Northern Pipelines Inc.,Not Applicable,
1085,INC2017-136,Fire,09/09/2017,Manitoba,TransCanada PipeLines Limited,Not Applicable,
1086,INC2017-137,Release of Substance,09/11/2017,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Natural Gas - Sweet,350347.0
1087,INC2017-138,Operation Beyond Design Limits,09/12/2017,Ontario,Trans-Northern Pipelines Inc.,Not Applicable,
1088,INC2017-139,Operation Beyond Design Limits,09/12/2017,Ontario,Trans-Northern Pipelines Inc.,Not Applicable,
1089,INC2017-140,Operation Beyond Design Limits,09/12/2017,Ontario,Trans-Northern Pipelines Inc.,Not Applicable,
1090,INC2017-141,Operation Beyond Design Limits,09/12/2017,Ontario,Trans-Northern Pipelines Inc.,Not Applicable,
1091,INC2017-142,Fire,09/12/2017,Saskatchewan,TransCanada PipeLines Limited,Not Applicable,
1092,INC2017-143,Operation Beyond Design Limits,09/12/2017,Ontario,Trans-Northern Pipelines Inc.,Not Applicable,
1093,INC2017-144,Operation Beyond Design Limits,09/12/2017,Ontario,Trans-Northern Pipelines Inc.,Not Applicable,
1094,INC2017-145,Fire,09/16/2017,British Columbia,NOVA Gas Transmission Ltd.,Not Applicable,
1095,INC2017-146,Serious Injury (CER or TSB),09/19/2017,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Not Applicable,
1096,INC2017-147,Operation Beyond Design Limits,09/19/2017,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Not Applicable,
1097,INC2017-148,Operation Beyond Design Limits,09/21/2017,Ontario,Trans-Northern Pipelines Inc.,Not Applicable,
1098,INC2017-149,Operation Beyond Design Limits,09/22/2017,Quebec,Trans-Northern Pipelines Inc.,Not Applicable,
1099,INC2017-150,Operation Beyond Design Limits,09/22/2017,Quebec,Trans-Northern Pipelines Inc.,Not Applicable,
1100,INC2017-151,Operation Beyond Design Limits,09/22/2017,Ontario,Trans-Northern Pipelines Inc.,Not Applicable,
1101,INC2017-153,Release of Substance,09/22/2017,Saskatchewan,Enbridge Pipelines Inc.,Natural Gas Liquids,0.002
1102,INC2017-154,Release of Substance,09/24/2017,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Natural Gas - Sweet,125.4
1103,INC2017-155,Release of Substance,09/24/2017,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Drilling Fluid,8.0
1104,INC2017-156,Operation Beyond Design Limits,09/25/2017,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
1105,INC2017-157,Operation Beyond Design Limits,09/25/2017,Ontario,Trans-Northern Pipelines Inc.,Not Applicable,
1106,INC2017-158,Operation Beyond Design Limits,09/25/2017,Ontario,Trans-Northern Pipelines Inc.,Not Applicable,
1107,INC2017-160,Operation Beyond Design Limits,09/27/2017,Ontario,Trans-Northern Pipelines Inc.,Not Applicable,
1108,INC2017-161,Release of Substance,09/29/2017,Saskatchewan,Enbridge Pipelines Inc.,Natural Gas Liquids,0.01
1109,INC2017-162,Release of Substance,10/01/2017,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Natural Gas - Sweet,13399.59
1110,INC2017-163,Fire,10/03/2017,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Not Applicable,
1111,INC2017-165,Release of Substance,10/11/2017,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Natural Gas - Sweet,15570.0
1112,INC2017-167,Release of Substance,10/13/2017,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,24.0
1113,INC2017-168,Fire,10/20/2017,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Not Applicable,
1114,INC2017-169,Release of Substance,10/20/2017,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,10.0
1115,INC2017-170,Release of Substance,10/23/2017,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,6474.0
1116,INC2017-171,Serious Injury (CER or TSB),10/23/2017,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
1117,INC2017-172,Serious Injury (CER or TSB),10/25/2017,Saskatchewan,Enbridge Pipelines Inc.,Not Applicable,
1118,INC2017-173,Release of Substance,10/26/2017,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Propane,2.0
1119,INC2017-174,Release of Substance,10/27/2017,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Natural Gas - Sweet,4473.37
1120,INC2017-175,Release of Substance,10/29/2017,Saskatchewan,Plains Midstream Canada ULC,Propane,0.001
1121,INC2017-176,Release of Substance,11/02/2017,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Natural Gas - Sour,248.0
1122,INC2017-177,Release of Substance,11/02/2017,Saskatchewan,TransCanada PipeLines Limited,Natural Gas - Sweet,1000.0
1123,INC2017-178,Release of Substance,11/03/2017,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Natural Gas - Sweet,13399.59
1124,INC2017-179,Fire,11/04/2017,Ontario,Plains Midstream Canada ULC,Not Applicable,
1125,INC2017-180,Fire,11/04/2017,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
1126,INC2017-181,Release of Substance,11/07/2017,Saskatchewan,Plains Midstream Canada ULC,Propane,0.001
1127,INC2017-183,Release of Substance,11/08/2017,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Natural Gas - Sweet,23758.0
1128,INC2017-184,Release of Substance,11/19/2017,Alberta,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Natural Gas - Sweet,0.01
1129,INC2017-185,Release of Substance,11/19/2017,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Natural Gas - Sweet,34483.0
1130,INC2017-186,Release of Substance,11/20/2017,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,18337.0
1131,INC2017-187,Operation Beyond Design Limits,11/21/2017,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Not Applicable,
1132,INC2017-188,Release of Substance,11/23/2017,Alberta,Alliance Pipeline Ltd.,Natural Gas - Sweet,1.0
1133,INC2017-189,Release of Substance,11/23/2017,British Columbia,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,2.05
1134,INC2017-190,Release of Substance,11/26/2017,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Natural Gas - Sweet,18181.0
1135,INC2017-191,Release of Substance,11/27/2017,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Natural Gas - Sweet,22272.0
1136,INC2017-192,Release of Substance,11/27/2017,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Natural Gas - Sour,255.0
1137,INC2017-194,Release of Substance,12/06/2017,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,7552.0
1138,INC2017-195,Release of Substance,12/06/2017,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,5125.0
1139,INC2017-196,Release of Substance,12/09/2017,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Natural Gas - Sweet,835.91
1140,INC2017-197,Release of Substance,12/13/2017,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,786.0
